,continuous,adaptive,notherapy
resistant_core,31.067106398890772,52.24446741043496,9.35681035396144
resistant_rim,16.930150619530828,19.34386466040331,10.858176642512316
multiple_resistant_cores,18.339367491819342,45.863824524345986,6.740111275045836
multiple_resistant_rims,10.328847951248001,9.909772954008584,6.760059171338665
uniform_ball_0.8,18.99779987261683,19.862436909906094,8.94589850154807
uniform_ball_0.9,21.502583565702054,21.911355503482664,11.548922027617989
uniform_ball_1,21.31321421090681,24.983344451854318,10.69397493918889
uniform,5.580779515444057,5.346363249911103,0.7709734106958552
